Headword,First Element,Definition,Part of Speech,Semantic Group,Frequency Rank
fateor fatērī fassus sum,fateor,"admit, confess; profess, declare; assent, say yes",Verb: Deponent,Justice,689
fātum -ī n.,fatum,fate; death,Noun: 2nd Declension,Religion,157
fax facis f.,fax,torch,Noun: 3rd Declension,Air and Fire,511
fēlīciter,feliciter,luckily,Adverb,Personality Traits/Characteristics,994
fēlīx -īcis,felix,lucky,Adjective: 3rd Declension,Personality Traits/Characteristics,309
fēmina -ae f.,femina,woman,Noun: 1st Declension,People,501
ferē,fere,almost,Adverb,Conjunctions/Adverbs,907
ferō ferre tulī lātum,fero,"bear, carry, endure",Verb: Irregular,Verbs of Transport,45
ferrum -ī n.,ferrum,"iron, iron weapon or implement",Noun: 2nd Declension,Violence,231
ferus -a -um,ferus,"wild, fierce; fera -ae f.: wild animal",Adjective: 1st and 2nd Declension,Animals/Plants,222
fessus -a -um,fessus,"weary, tired",Adjective: 1st and 2nd Declension,Life and Being,625
fidēlis -e,fidelis,faithful,Adjective: 3rd Declension,Personality Traits/Characteristics,979
fidēs -eī f.,fides,"trust, faith",Noun: 5th Declension,Personality Traits/Characteristics,184
fīlia -ae f.; fīlius -ī m.,filia,daughter; son,Noun: 1st Declension,The Household,909
fingō fingere fīnxī fīctum,fingo,shape; invent,Verb: 3rd Conjugation -ō,Making/Doing,721
fīnis -is m.,finis,"end, boundary",Noun: 3rd Declension,Geography,236
fīō fierī factus sum,fio,"become, happen, be done",Verb: Irregular,Life and Being,146
flamma -ae f.,flamma,"flame, fire",Noun: 1st Declension,Air and Fire,298
fleō flēre flēvī flētum,fleo,weep,Verb: 2nd Conjugation,Emotions,457
flōs flōris m.,flos,"flower, bloom",Noun: 3rd Declension,Animals/Plants,818
fluctus -ūs m,fluctus,"flood, billow, surf",Noun: 4th Declension,Earth and Water,498
flūmen -inis n.,flumen,"stream, river",Noun: 3rd Declension,Earth and Water,283
fluō fluere fluxī fluxum,fluo,flow,Verb: 3rd Conjugation -ō,Earth and Water,772
foedus -a -um,foedus,foul,Adjective: 1st and 2nd Declension,Other Senses,922
fōns fontis m.,fons,"spring, fountain",Noun: 3rd Declension,Earth and Water,706
for fārī fātus sum,for,"report, say",Verb: Deponent,Speech/Oratory,739
fōrma -ae f.,forma,shape; beauty,Noun: 1st Declension,Other Senses,422
fors fortis f.,fors,chance,Noun: 3rd Declension,Religion,993
"forsitan, fortasse",forsitan,"perhaps, perchance",Adverb,Conjunctions/Adverbs,833
fortē,forte,by chance,Adverb,Religion,579
fortis -e,fortis,brave,Adjective: 3rd Declension,Personality Traits/Characteristics,286
fortūna -ae f.,fortuna,fortune,Noun: 1st Declension,Religion,138
forum -ī n.,forum,"market-place, forum",Noun: 2nd Declension,The City,811
frangō frangere frēgī frāctum,frango,"break, shatter",Verb: 3rd Conjugation -ō,Violence,345
frāter frātris m.,frater,brother,Noun: 3rd Declension,The Household,225
frequēns -ntis,frequens,"in large numbers, often",Adjective: 3rd Declension,Measurement,918
frōns frontis f.,frons,"forehead, brow; front",Noun: 3rd Declension,The Body,559
frūctus -ūs m.,fructus,"fruit, crops; enjoyment, delight",Noun: 4th Declension,Animals/Plants,927
frūmentum -ī n.,frumentum,grain,Noun: 2nd Declension,Animals/Plants,936
fruor fruī frūctus sum,fruor,"enjoy the produce of, profit by, use (+ abl.)",Verb: Deponent,Emotions,923
frūstrā,frustra,in vain,Adverb,Conjunctions/Adverbs,694
fuga -ae f.,fuga,"flight, route",Noun: 1st Declension,Travel,364
fugiō fugere fūgī fugitum,fugio,"flee, escape",Verb: 3rd Conjugation -iō,Travel,177
fugō -āre,fugo,put to flight,Verb: 1st Conjugation,Travel,957
fundō fundere fūdī fūsum,fundo,"pour, scatter",Verb: 3rd Conjugation -ō,Earth and Water,523
fūnus fūneris n.,funus,funeral; death; dead body,Noun: 3rd Declension,Religion,524
furor -ōris m.,furor,"rage, fury",Noun: 3rd Declension,Emotions,466
fore,fore,,Verb: Irregular,Life and Being,985
gaudeō gaudēre gāvīsus sum,gaudeo,rejoice,Verb: 2nd Conjugation,Emotions,407
gaudium -ī n.,gaudium,"delight, joy, pleasure",Noun: 2nd Declension,Emotions,727
gēns gentis f.,gens,"family, clan",Noun: 3rd Declension,The Household,194
genus generis n.,genus,"origin, lineage, kind",Noun: 3rd Declension,The Household,170
gerō gerere gessī gestum,gero,"bear, manage; bellum gerere, wage war",Verb: 3rd Conjugation -ō,War and Peace,237
gīgnō gīgnere genuī genitum,gigno,"beget, bear, bring forth",Verb: 3rd Conjugation -ō,Life and Being,667
gladius -ī m.,gladius,sword,Noun: 2nd Declension,War and Peace,862
glōria -ae f.,gloria,"glory, fame",Noun: 1st Declension,Social Life,360
gradus -ūs m.,gradus,"step, pace; grade, rank",Noun: 4th Declension,War and Peace,577
grātia -ae f.,gratia,"favor, influence, gratitude",Noun: 1st Declension,Social Life,380
grātus -a -um,gratus,pleasant; grateful,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,434
gravis -e,gravis,"heavy, serious",Adjective: 3rd Declension,Measurement,140
habeō habēre habuī habitum,habeo,"have, hold",Verb: 2nd Conjugation,Other Senses,39
haud,haud,not,Adverb,Conjunctions/Adverbs,226
hic haec hoc,hic,"this, these",Pronoun,Pronouns/Interrogatives,7
hīc,hic,here; hinc: from here,Adverb,Place,80
hiems hiemis f.,hiems,winter,Noun: 3rd Declension,Lengths of Time,803
hodiē,hodie,today,Adverb,Lengths of Time,981
homō hominis m.,homo,human being,Noun: 3rd Declension,People,88
honestus -a -um,honestus,honorable,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,580
honor -ōris m.,honor,"honor, glory; office, post",Noun: 3rd Declension,The City,290
hōra -ae f.,hora,hour,Noun: 1st Declension,Lengths of Time,664
hortor hortārī hortātus sum,hortor,"urge strongly, advise, exhort",Verb: Deponent,Speech/Oratory,887
hospes hospitis m.,hospes,"guest, guest-friend; stranger; host",Noun: 3rd Declension,Social Life,873
hostis -is m./f.,hostis,"stranger, enemy",Noun: 3rd Declension,War and Peace,93
hūc,huc,to this place,Adverb,Place,368
hūmānus -a -um,humanus,human,Adjective: 1st and 2nd Declension,People,355
humus -ī f.,humus,ground; humī: on the ground,Noun: 2nd Declension,Earth and Water,740
iaceō iacēre iacuī,iaceo,lie,Verb: 2nd Conjugation,The House,228
iaciō iacere iēcī iactum,iacio,"throw, hurl",Verb: 3rd Conjugation -iō,Athletics,899
iam,iam,now; already,Adverb,Time,34
ibi,ibi,there,Adverb,Place,619
īctus -ūs m.,ictus,"blow, stroke",Noun: 4th Declension,Violence,819
īdem eadem idem,idem,the same,Pronoun,Pronouns/Interrogatives,59
ideō,ideo,for this reason,Adverb,Conjunctions/Adverbs,679
igitur,igitur,therefore,Conjunction,Conjunctions/Adverbs,313
ignis -is m.,ignis,fire,Noun: 3rd Declension,Air and Fire,151
ille illa illud,ille,that,Pronoun,Pronouns/Interrogatives,8
illīc,illic,"at that place, there; illinc: from that place",Adverb,Place,396
illūc,illuc,to that place,Adverb,Place,955
imāgō -inis f.,imago,"image, form, figure",Noun: 3rd Declension,Vision,754
imperātor -ōris m.,imperator,commander,Noun: 3rd Declension,War and Peace,723
imperium -ī n.,imperium,"command, power",Noun: 2nd Declension,War and Peace,200
imperō -āre,impero,"command, control",Verb: 1st Conjugation,War and Peace,602
impetus -ūs m.,impetus,attack,Noun: 4th Declension,Violence,421
impleō -ēre -plēvī -plētum,impleo,"fill in, fill up",Verb: 2nd Conjugation,Earth and Water,671
impōnō -ere -posuī -positum,impono,"put in, put on, impose, levy upon",Verb: 3rd Conjugation -ō,Measurement,437
in,in,"in, on (+ abl.); into, onto (+ acc)",Preposition,Place,5
incidō incidere incidī,incido,"fall upon, fall into; happen",Verb: 3rd Conjugation -ō,Motion,871
incipiō -cipere -cēpī -ceptum,incipio,begin,Verb: 3rd Conjugation -iō,Time,411
inde,inde,"from there, from then",Adverb,Place,328
indicō -āre,indico,"point out, show, make known",Verb: 1st Conjugation,Speech/Oratory,980
īnferō īnferre intulī illātum,infero,"bring upon, against; bellum īnferre: make war on",Verb: Irregular,War and Peace,742
īnferus -a -um,inferus,low; īnferior: lower; īnfimus or īmus: lowest,Adjective: 1st and 2nd Declension,Geography,428
ingenium -ī n.,ingenium,"disposition, ability, talent",Noun: 2nd Declension,Education/Knowledge,387
ingēns ingentis,ingens,"huge, enormous",Adjective: 3rd Declension,Measurement,202
ingrātus -a -um:,ingratus,"unpleasant, disagreeable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,592
ingredior -gredī -gressus sum:,ingredior,"step in, enter",Verb: Deponent,Motion,885
inimīcus -a -um:,inimicus,unfriendly; (as subst.) enemy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,952
initium -ī n.:,initium,beginning,Noun: 2nd Declension,Time,865
iniūria -ae f.:,iniuria,"injustice, wrong, affront",Noun: 1st Declension,Justice,381
"inquam, inquis, inquit, inquiunt:",inquam,say (used with direct speech),Verb: Irregular,Speech/Oratory,163
īnstituō -stituere -stituī -stitūtum:,instituo,undertake; equip,Verb: 3rd Conjugation -ō,Making/Doing,931
īnsula -ae f.:,insula,island,Noun: 1st Declension,Geography,908
integer -gra -grum:,integer,"untouched, fresh, complete, whole",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,815
intellegō -legere -lēxī -lēctum:,intellego,understand,Verb: 3rd Conjugation -ō,Education/Knowledge,512
intendō -tendere -tendī -tentum:,intendo,"stretch out, strain",Verb: 3rd Conjugation -ō,Motion,895
inter,inter,"between, among; during (+ acc.)",Preposition,Place,64
interficiō -ficere -fēcī -fectum,interficio,kill,Verb: 3rd Conjugation -iō,Violence,699
interim,interim,meanwhile,Adverb,Time,693
interrogō -āre,interrogo,"put a question to, ask (+ acc.)",Verb: 1st Conjugation,Speech/Oratory,953
intersum -esse -fuī,intersum,"to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)",Verb: Irregular,Place,760
intrā,intra,within (+ acc.),Preposition,Place,704
intrō -āre,intro,enter,Verb: 1st Conjugation,Motion,766
inveniō -venīre -vēnī -ventum,invenio,find; discover,Verb: 4th Conjugation,Travel,316
invidia -ae f.,invidia,"envy, jealousy, hatred",Noun: 1st Declension,Emotions,707
ipse ipsa ipsum,ipse,him- her- itself,Pronoun,Pronouns/Interrogatives,22
īra irae f.,ira,"wrath, anger",Noun: 1st Declension,Emotions,187
īrāscor īrāscī īrātus sum,irascor,grow angry; īrātus -a -um: angry,Verb: Deponent,Emotions,809
is ea id,is,"he, she, it",Pronoun,Pronouns/Interrogatives,13
iste ista istud,iste,"that, that of yours; adv. istīc or istūc: over there; istinc: from over there",Pronoun,Pronouns/Interrogatives,81
ita,ita,"thus, so",Adverb,Conjunctions/Adverbs,120
itaque,itaque,"and so, therefore",Conjunction,Conjunctions/Adverbs,208
item,item,likewise,Adverb,Conjunctions/Adverbs,932
iter itineris n.,iter,"journey, route",Noun: 3rd Declension,Travel,230
iterum,iterum,again,Adverb,Time,758
iubeō iubēre iussī iussum,iubeo,"bid, order",Verb: 2nd Conjugation,Justice,84
iūdex iūdicis m.,iudex,"judge, juror",Noun: 3rd Declension,Justice,839
iūdicium -ī n.,iudicium,"judgment, decision, trial",Noun: 2nd Declension,Justice,749
iūdicō -āre,iudico,"judge, decide",Verb: 1st Conjugation,Justice,565
iugum -ī n.,iugum,"yoke; ridge, chain of hills",Noun: 2nd Declension,Animals/Plants,335
iungō iungere iūnxī iūnctum,iungo,join,Verb: 3rd Conjugation -ō,Making/Doing,513
iūrō -āre,iuro,"take an oath, swear; iūs iūrandum, oath",Verb: 1st Conjugation,Justice,896
iūs iūris n.,ius,"right, justice, law",Noun: 3rd Declension,Justice,314
iūstus -a -um,iustus,"right, just, fair",Adjective: 1st and 2nd Declension,Justice,770
iuvenis -is m.,iuvenis,youth,Noun: 3rd Declension,People,277
iuvō iuvāre iūvī iūtum,iuvo,"help, assist; please, delight",Verb: 1st Conjugation,Social Life,390
labor -ōris m.,labor,"toil, exertion",Noun: 3rd Declension,Business/Money,201
labōrō -āre,laboro,"toil, work; be in trouble or distress",Verb: 1st Conjugation,Business/Money,900
lacrima -ae f.,lacrima,tear,Noun: 1st Declension,Emotions,354
laedō laedere laesī laesum,laedo,"injure by striking, hurt",Verb: 3rd Conjugation -ō,Violence,783
laetus -a -um,laetus,"glad, joyful",Adjective: 1st and 2nd Declension,Emotions,262
lapis lapidis m.,lapis,stone,Noun: 3rd Declension,Earth and Water,840
lateō latēre latuī,lateo,"lie hidden, be hidden",Verb: 2nd Conjugation,Deception,695
latus -eris n.,latus,"side, flank",Noun: 3rd Declension,The Body,382
lātus -a -um,latus,"broad, wide",Adjective: 1st and 2nd Declension,Measurement,824
laudō -āre,laudo,praise,Verb: 1st Conjugation,Social Life,435
laus laudis f.,laus,"praise, glory",Noun: 3rd Declension,Social Life,444
lēgātus -ī m.,legatus,"lieutenant, envoy",Noun: 2nd Declension,War and Peace,464
legiō -ōnis f.,legio,legion,Noun: 3rd Declension,War and Peace,370
legō legere lēgī lēctum,lego,"gather, choose, read",Verb: 3rd Conjugation -ō,Writing/Poetry,419
levis -e,levis,"light, trivial",Adjective: 3rd Declension,Measurement,220
lēx lēgis f.,lex,law,Noun: 3rd Declension,Justice,264
liber librī m.,liber,book,Noun: 2nd Declension,Writing/Poetry,901
līber lībera līberum,liber,free; līberī (m. pl.): freeborn children,Adjective: 1st and 2nd Declension,Justice,229
lībertās -ātis f.,libertas,freedom,Noun: 3rd Declension,The City,495
libet libēre libuit or libitum est,libet,it is pleasing (+ dat. + infin.),Verb: Impersonal,Social Life,729
libīdō -inis f.,libido,"passion, lust",Noun: 3rd Declension,Love,761
licet licēre licuit licitum est,licet,it is permitted (+ dat. + infin.),Verb: Impersonal,Justice,175
licet,licet,even though,Conjunction,Justice,778
līmen līminis n.,limen,threshold,Noun: 3rd Declension,The House,516
lingua -ae f.,lingua,tongue; language,Noun: 1st Declension,The Body,732
littera -ae f.,littera,"letter, (pl.) literature",Noun: 1st Declension,Writing/Poetry,710
lītus -oris n.,litus,shore,Noun: 3rd Declension,Geography,245
locus -ī m.,locus,place; loca (n. pl.) region,Noun: 2nd Declension,Geography,62
longē,longe,"far, far off",Adverb,Measurement,400
longus -a -um,longus,"long, far",Adjective: 1st and 2nd Declension,Measurement,142
loquor loquī locūtus sum,loquor,"speak, talk",Verb: Deponent,Speech/Oratory,310
lūmen luminis n.,lumen,light,Noun: 3rd Declension,Vision,375
lūna -ae f.,luna,moon,Noun: 1st Declension,Air and Fire,902
lūx lūcis f.,lux,light of day,Noun: 3rd Declension,Air and Fire,299
maestus -a -um,maestus,"sad, sorrowful; depressing",Adjective: 1st and 2nd Declension,Emotions,669
magis,magis,more,Adverb,Conjunctions/Adverbs,90
magister magistrī m.,magister,"master, chief",Noun: 2nd Declension,Education/Knowledge,933
māgnitūdō -inis f.,magnitudo,"greatness, size",Noun: 3rd Declension,Measurement,672
māgnus -a -um,magnus,great,Adjective: 1st and 2nd Declension,Measurement,25
māiōrēs māiōrum m.,maiores,ancestors,Noun: 3rd Declension,The Household,764
male,male,(adv.) badly,Adverb,Personality Traits/Characteristics,603
mālō mālle māluī,malo,prefer,Verb: Irregular,Emotions,598
malus -a -um,malus,"bad, evil",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,227
maneō manēre mānsī mānsum,maneo,remain,Verb: 2nd Conjugation,Travel,357
manus -ūs f.,manus,hand; band of men,Noun: 4th Declension,The Body,48
mare -is n.,mare,sea,Noun: 3rd Declension,Earth and Water,125
marītus -ī m.,maritus,husband,Noun: 2nd Declension,The Household,654
māter mātris f.,mater,mother,Noun: 3rd Declension,The Household,127
māteria -ae f.,materia,"material, subject matter; timber, lumber",Noun: 1st Declension,Speech/Oratory,857
medius -a -um,medius,"middle, central",Adjective: 1st and 2nd Declension,Place,162
membrum -ī n.,membrum,"limb, member of the body",Noun: 2nd Declension,The Body,481
meminī meminisse,memini,"remember, recollect",Verb: Irregular,Education/Knowledge,670
memoria -ae f.,memoria,"recollection, memory",Noun: 1st Declension,Education/Knowledge,627
mēns mentis f.,mens,mind,Noun: 3rd Declension,The Body,173
mēnsa -ae f.,mensa,table,Noun: 1st Declension,The House,747
mereō merēre meruī meritum,mereo,"deserve, merit; serve as a soldier",Verb: 2nd Conjugation,Business/Money,852
metuō metuere metuī,metuo,"to fear, to dread",Verb: 3rd Conjugation -ō,Emotions,429
metus -ūs m.,metus,"fear, dread",Noun: 4th Declension,Emotions,215
meus -a -um,meus,my,Pronoun,Pronouns/Interrogatives,41
mīles -itis m.,miles,soldier,Noun: 3rd Declension,War and Peace,161
mīlle (pl.) mīlia,mille,thousand,Adjective: Numeral,Measurement,247
mīror mīrārī mīrātus sum,miror,"wonder at, marvel at (+ acc.)",Verb: Deponent,Emotions,504
misceō miscēre miscuī mixtum,misceo,mix,Verb: 2nd Conjugation,Earth and Water,425
miser misera miserum,miser,"wretched, pitiable",Adjective: 1st and 2nd Declension,Emotions,137
mittō mittere mīsī missum,mitto,"send, let go",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,114
modo,modo,"just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes",Adverb,Time,152
modus -ī m.,modus,"measure, manner, kind",Noun: 2nd Declension,Measurement,195
moenia -ium n. pl.,moenia,"walls, fortifications",Noun: 3rd Declension,The City,593
mollis -e,mollis,"soft, yielding, gentle",Adjective: 3rd Declension,Other Senses,356
moneō monēre monuī monitum,moneo,"warn, advise",Verb: 2nd Conjugation,Speech/Oratory,711
mōns montis m.,mons,mountain,Noun: 3rd Declension,Geography,242
mora -ae f.,mora,"delay, hindrance",Noun: 1st Declension,Time,399
morbus -ī m.,morbus,"sickness, disease",Noun: 2nd Declension,The Body,658
morior morī mortuus sum,morior,die,Verb: Deponent,Life and Being,253
moror morārī morātus sum,moror,delay,Verb: Deponent,Time,581
mors mortis f.,mors,death,Noun: 3rd Declension,Life and Being,95
mortālis -e,mortalis,"liable to death, mortal; (as subst.) a mortal",Adjective: 3rd Declension,Life and Being,950
mōs mōris m.,mos,"custom, habit; (pl.) character",Noun: 3rd Declension,Social Life,181
moveō -ēre mōvī mōtum,moveo,move,Verb: 2nd Conjugation,Motion,192
mox,mox,soon,Adverb,Time,469
mulier -eris f.,mulier,woman,Noun: 3rd Declension,People,961
multitūdō -inis f.,multitudo,"multitude, number",Noun: 3rd Declension,Measurement,733
multus -a -um,multus,"much, many; multō, by far",Adjective: 1st and 2nd Declension,Measurement,43
mundus -ī m.,mundus,"world, universe, heavens",Noun: 2nd Declension,Earth and Water,350
mundus -a -um,mundus,"clean, neat, elegant",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,997
mūnus mūneris n.,munus,"gift, offering; duty, obligation; (pl.) gladiatorial show",Noun: 3rd Declension,Social Life,276
mūrus -ī m.,murus,wall,Noun: 2nd Declension,The House,508
mūtō -āre,muto,change,Verb: 1st Conjugation,Making/Doing,315
nam or namque,nam,"for, indeed, really",Conjunction,Conjunctions/Adverbs,61
narrō -āre,narro,"relate, recount",Verb: 1st Conjugation,Speech/Oratory,910
nāscor nāscī nātus sum,nascor,be born,Verb: Deponent,Life and Being,266
nātūra -ae f.,natura,nature,Noun: 1st Declension,Life and Being,180
nātus -ī m.,natus,son,Noun: 2nd Declension,The Household,211
nāvis -is f.,navis,ship,Noun: 3rd Declension,Travel,353
ne (enclitic),ne,interrogative particle attached to the emphatic word in a question,Adverb,Pronouns/Interrogatives,238
nē,ne,"lest, that not",Conjunction,Conjunctions/Adverbs,47
nec,nec,"and not, nor; nec ... nec, neither ... nor; → neque",Conjunction,Conjunctions/Adverbs,19
necesse (indecl. adj.),necesse,necessary,Adjective: Indeclinable,Business/Money,773
necessitās -tātis f.,necessitas,"necessity, need",Noun: 3rd Declension,Business/Money,911
nefās n. indecl.,nefas,"impiety, wickedness",Noun: Indeclinable,Justice,541
negō -āre,nego,"deny, refuse",Verb: 1st Conjugation,Speech/Oratory,294
negōtium -ī n.,negotium,business,Noun: 2nd Declension,Business/Money,846
nēmō,nemo,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)",Pronoun,Pronouns/Interrogatives,179
nemus nemoris n.,nemus,"grove, forest",Noun: 3rd Declension,Animals/Plants,461
neque,neque,"and not, nor; neque ... neque, neither ... nor; → nec",Conjunction,Conjunctions/Adverbs,72
nesciō -scīre,nescio,"not know, be ignorant",Verb: 4th Conjugation,Education/Knowledge,525
"nisi, nī",nisi,"if not, unless",Conjunction,Conjunctions/Adverbs,100
niger nigra nigrum,niger,black,Adjective: 1st and 2nd Declension,Vision,634
"nihil, nīl",nihil,nothing; not at all,Noun: Indeclinable,Measurement,55
nimis or nimium,nimis,excessively,Adverb,Personality Traits/Characteristics,841
nimius -a -um,nimius,"too much, excessive",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,502
nōbilis -e,nobilis,"distinguished, noble; (as subst.) a nobleman or woman",Adjective: 3rd Declension,Personality Traits/Characteristics,455
noceō nocēre nocuī,noceo,harm,Verb: 2nd Conjugation,Violence,509
nōlō nōlle nōluī,nolo,be unwilling,Verb: Irregular,Emotions,458
nōmen -inis n.,nomen,name,Noun: 3rd Declension,Social Life,135
nōn,non,not,Adverb,Conjunctions/Adverbs,6
nōndum,nondum,not yet,Adverb,Conjunctions/Adverbs,436
nōs nostrum/nostrī nōbīs nōs,nos,we,Pronoun,Pronouns/Interrogatives,51
nōscō nōscere nōvī nōtum,nosco,"learn, know",Verb: 3rd Conjugation -ō,Education/Knowledge,347
noster nostra nostrum,noster,our,Pronoun,Pronouns/Interrogatives,52
nōtus -a -um,notus,well-known,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,477
novus -a -um,novus,new,Adjective: 1st and 2nd Declension,Time,139
nox noctis f.,nox,night,Noun: 3rd Declension,Lengths of Time,119
nūdus -a -um,nudus,"naked, bare",Adjective: 1st and 2nd Declension,The Body,545
nūllus -a -um,nullus,"not any, no one",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,49
num,num,interrogative particle implying negative answer,Adverb,Pronouns/Interrogatives,924
nūmen -inis n.,numen,"divine will, deity",Noun: 3rd Declension,Religion,452
numerus -ī m.,numerus,"number, amount",Noun: 2nd Declension,Measurement,338
numquam,numquam,never,Adverb,Time,251
nunc,nunc,now,Adverb,Time,50
nūntius -ī m.,nuntius,messenger; news,Noun: 2nd Declension,Travel,919
ob,ob,"against, on account of (+acc)",Preposition,Place,449
occīdō -cīdere -cīdī -cīsum,occido,"kill, cut down",Verb: 3rd Conjugation -ō,Violence,801
occupō -āre,occupo,"seize, occupy; anticipate, do a thing first (+ infin.)",Verb: 1st Conjugation,War and Peace,472
occurrō -currere -cucurrī -cursum,occurro,run to meet; come into one’s mind,Verb: 3rd Conjugation -ō,Education/Knowledge,677
oculus -ī m.,oculus,eye,Noun: 2nd Declension,The Body,206
ōdī ōdisse,odi,hate,Verb: Irregular,Emotions,790
odium -ī n.,odium,hatred,Noun: 2nd Declension,Emotions,522
offerō offerre obtulī oblātum,offero,"present, offer, expose",Verb: Irregular,Verbs of Transport,812
officium -ī n.,officium,"service, duty",Noun: 2nd Declension,The City,607
ōlim,olim,"formerly, at that time",Adverb,Time,574
omnis -e,omnis,"all, every, as a whole",Adjective: 3rd Declension,Measurement,18
onus oneris n.,onus,"load, burden",Noun: 3rd Declension,Measurement,842
opera -ae f.,opera,"labor, activity, work",Noun: 1st Declension,Business/Money,843
oportet -ēre -uit,oportet,"it is proper, right (+ acc. + infin.)",Verb: Impersonal,Social Life,806
oppidum -ī n.,oppidum,town,Noun: 2nd Declension,The City,635
ops opis f.,ops,"assistance, resources",Noun: 3rd Declension,Business/Money,318
optō -āre,opto,"choose, select",Verb: 1st Conjugation,Personality Traits/Characteristics,417
opus operis n.,opus,work,Noun: 3rd Declension,Business/Money,332
ōrātiō -ōnis f.,oratio,"speech, address",Noun: 3rd Declension,Speech/Oratory,736
orbis -is m.,orbis,circle; orbis terrārum: world,Noun: 3rd Declension,Geography,322
ōrdō -īnis m.,ordo,"order, rank",Noun: 3rd Declension,War and Peace,416
orior orīrī ortus sum,orior,"arise, begin",Verb: Deponent,Time,642
ōrō -āre,oro,pray,Verb: 1st Conjugation,Religion,755
ōs ōris n.,os,"mouth, face",Noun: 3rd Declension,The Body,147
os ossis n.,os,bone,Noun: 3rd Declension,The Body,696
ostendō ostendere ostendī ostentum,ostendo,"show, hold out",Verb: 3rd Conjugation -ō,Other Senses,371
ōtium -ī n.,otium,leisure,Noun: 2nd Declension,Social Life,715
paene,paene,almost,Adverb,Conjunctions/Adverbs,944
pār paris,par,equal,Adjective: 3rd Declension,Measurement,281
parcō parcere pepercī parsum,parco,"spare, be sparing of (+ dat.)",Verb: 3rd Conjugation -ō,War and Peace,412
parēns -ntis m./f.,parens,parent,Noun: 3rd Declension,The Household,190
pāreō pārēre pāruī,pareo,obey,Verb: 2nd Conjugation,Verbs of Compelling/Directing,847
pariō parere peperī partum,pario,"bring forth, give birth to; accomplish",Verb: 3rd Conjugation -iō,Life and Being,829
parō -āre,paro,"prepare, acquire; parātus -a -um, ready",Verb: 1st Conjugation,Making/Doing,160
pars partis f.,pars,part,Noun: 3rd Declension,Measurement,65
parum,parum,too little,Adverb,Measurement,204
parvus -a -um,parvus,small,Adjective: 1st and 2nd Declension,Measurement,143
pateō patēre patuī,pateo,"lie open, extend; be evident or obvious",Verb: 2nd Conjugation,Geography,550
pater patris m.,pater,"father, ancestor",Noun: 3rd Declension,The Household,71
patior patī passus sum,patior,"permit, endure",Verb: Deponent,Verbs of Compelling/Directing,185
patria -ae f.,patria,"fatherland, country",Noun: 1st Declension,Geography,342
paucī -ae -a,pauci,"few, a few",Adjective: 1st and 2nd Declension,Measurement,858
"paulō, paulum",paulo,"to only a small extent, slightly, a little",Adverb,Measurement,872
pauper -eris,pauper,"poor, lowly",Adjective: 3rd Declension,Business/Money,844
pāx pācis f.,pax,peace,Noun: 3rd Declension,War and Peace,388
peccō -āre,pecco,"commit a wrong, injure",Verb: 1st Conjugation,Justice,792
pectus -oris n.,pectus,"chest, breast",Noun: 3rd Declension,The Body,183
pecūnia -ae f.,pecunia,money,Noun: 1st Declension,Business/Money,530
pecus -oris n.,pecus,"cattle, sheep",Noun: 3rd Declension,Animals/Plants,566
pellō pellere pepulī pulsum,pello,"strike, beat, push, drive",Verb: 3rd Conjugation -ō,Violence,563
pendō pendere pependī pēnsum,pendo,"weigh, hang, suspend; pay",Verb: 3rd Conjugation -ō,Business/Money,988
per,per,through (+acc.),Preposition,Place,30
perdō -dere -didī -ditum,perdo,destroy,Verb: 3rd Conjugation -ō,Violence,488
pereō -īre -iī -itum,pereo,"perish, be lost",Verb: Irregular,Violence,268
pergō pergere perrēxī perrēctum,pergo,"continue, proceed; awaken",Verb: 3rd Conjugation -ō,Motion,821
perīculum -ī n.,periculum,danger,Noun: 2nd Declension,Violence,265
permittō -mittere -mīsī -missum,permitto,"yield, allow, permit",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,702
perpetuus -a -um,perpetuus,"unbroken, perpetual",Adjective: 1st and 2nd Declension,Lengths of Time,891
pertineō -tinēre -tinuī,pertineo,"extend over, reach; refer to, pertain to, be the business of",Verb: 2nd Conjugation,Education/Knowledge,866
perveniō -venīre -vēnī -ventum,pervenio,"arrive, reach",Verb: 4th Conjugation,Travel,409
pēs pedis m.,pes,foot,Noun: 3rd Declension,The Body,199
petō petere petīvī petītum,peto,"seek, aim at",Verb: 3rd Conjugation -ō,Motion,83
pietās -tātis f.,pietas,"sense of duty, devotion, esp. between parents and children",Noun: 3rd Declension,The Household,767
